Donor,privatemoney
Centre De Crise,no
Centre de Développement Intégral (CDI/Yakoma),no
Centre de Promotion Socio-Sanitaire,no
"Centre de Recherche en Astronomie, Astrophysique et Geophysique",no
Centre de Recherche et d'Appui aux Initiatives de Développement Intégré,no
Centre de Recherche Santé,no
Centre de Réflexion Europe Afrique ,no
Centre d'Enseignement et de Recherche en Action Humanitaire,no
Centre for Civil and Political Rights,no
Centre for Common Ground in Angola (CCG),no
CENTRE FOR DEFENDING FREEDOM OF JOURNALISTS - CDFJ,no
Centre for Humanitarian Dialogue,no
Centre for InteNational Political Studies,no
Centre for InterNational Political Studies,no
Centre for InterNational Studies and Cooperation ,no
Centre for Peacekeeping and Community Development,no
Centre for Research on the Epidemiology of Disasters,no
Centre for Safety and Development,private
Centre for the Coordination of Natural Disaster Prevention in Central America,no
Centre palestinien des droits de l'homme,no
Centre pour enfants des rues de Bel-Air,no
Centre pour la Promotion de la Sante,no
Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage,no
Centro d'Informazione e Educazione allo Sviluppo,no
Centro Integral de Rehabilitación de Colombia,no
Centrum voor Afrikaanse Cultuur,no
CESADEMA,no
CEVA Logistics,private
CFD,no
CHA - Coordination of Humanitarian Assistance,no
Chad ,no
Chad Red Cross,no
Chadbourne & Parke LLP,private
Chaine du Bonheur,no
Chaîne du Bonheur,no
CHAINES,no
Chapman Freeborn Airchartering,private
Charitable Development Association,no
Charitable Society for Caring and Rehabilitation Iraqi Children,no
Charitable Society for Social Welfare,no
Charities Aid Foundation,no
Charity Palestinian NGO,no
Charles Schwab ,private
Charles Schwab Foundation,private
Chars Livelihoods Programme,no
CHASE OT,private
Checci & Company,private
Chemonics InterNational Inc.,private
Chevron Corporation,private
Chevron Texaco,private
CHF - ERF funds transfer,no
CHF InterNational,no
CHF Sudan/South Sudan Funding,no
Child Advocacy InterNational,no
Child Care Society,no
Child Development Foundation,private
Child Rights Information Network,no
ChildFund InterNational,no
ChildFund Ireland,no
Children Assistance Programme ,no
Children InterNational,no
Children of Peru Foundation (New York),private
Children without Borders,no
Children's Aid Direct,no
Children's Fund of North Ossetia,no
"Children's Global Network, Pakistan (Guarantee) Limited",private
Children's Home Society of Minnesota,no
Children's Investment Fund Foundation,private
Children's Relief,no
Child's Earth Society in Iraq,no
Chile,no
Chile Red Cross,no
Chilean Red Cross,no
China,no
China Association for NGO Cooperation,no
China Centre for Disease Control and  Asia-Australia Mental Health,no
China Foundation for Poverty Alleviation,no
China Red Cross Society,no
Chinese Community in Peru,no
"CHMI, CTU/EPFL (Czech Hydrometeorological Institute)",no
CHORA,no
Chreso Ministries,private
Chrétiens pour le Sahel,no
Christian Aid,no
Christian Aid Ministries Nehemia,private
Christian Aid-UK,no
Christian Blind Mission,no
Christian Care,no
Christian Children's Fund ,no
Christian Children's Fund  / Adventis Development And Relief Agency,no
"Christian Children's Fund, USA",no
Christian Commission for Development in Bangladesh,no
Christian Friends of Korea,no
Christian Mission Aid,no
Christian Mission for Development,no
Christian Outreach Relief and Development,no
Christian Peacemaker Teams,private
Christian Recovery and Development Agency,no
Christian Reformed World Relief Committee,no
Christian Relief Network,no
Christian Solidarity International,no
Christoffel-Blindenmission,no
Christusträger Bruderschaft,private
Chrysler Foundation,private
Chubb Corporation,private
"Chung Te Buddhist Association of NY, Inc.",private
Church of Jesus Christ (Johannesburg),private
Church of Sweden,private
Church of the Latter Day Saints,private
Church of the Living God InterNational,private
Church Women Solidarity for Supporting North Korea Children,private
Church World Service,no
CIAA,no
CICERO,private
CIGNA,private
CIMIR- Fred Polk,no
CINS -  Cooperazione Italiana Nord Sud,no
Circassian Charity Association,no
CISANET/CSCQBE/MEJN,no
Cisco Foundation,private
Citi,private
Citigroup,private
CitiHope InterNational,no
Citizen's Commission for Human Development,no
"Citizens' Disaster Response Center, Inc",no
Citizens Network for Foreign Affairs,no
City of Ingolstadt,no
City of Konstanz,no
City of Munich (Germany),no
City of Munich (Germany),no
City of Munich (Germany),no
Civi Development Organization,no
CIVIC,no
CIVIC (Valid until August 2012),no
Civic Assistance Committee,no
Clear Path International,no
Cleared Ground Demining Ltd.,no
Cleveland Foundation,private
Clinton Bush Haiti Fund,private
Clinton Foundation,private
Clinton Health Access Initiative,private
"?LOVEK V TÍSNI, O.P.S.",no
Clowns without Borders,no
Cluster Munition Coalition,no
Cluster Munitions Conference,no
CMS Ireland,no
Coach,no
Coalition for InterNational Justice,no
Coalition for the InterNational Criminal Court,no
Coalition of Dutch NGOs,no
Coalition to Stop Use of Child Soldiers,no
Coastal Community Foundation of South Carolina,private
Coca-Cola Company,private
CODEC,no
COFRA,private
Cogeco Cable,private
Cognizant,private
Coin Co. InterNational,private
Collaborative for Development Action,no
Collectif Asie Enfants Isolés,private
Collectif du developpement et du secours syrien,no
Collectif Haïti de France,no
College Suisse/Fondation S.O.S,no
Collegio Universitario Aspirante e Medici Missionari,no
Colombia,no
Colombia Campaign to Ban Landmines,no
Colombia Red Cross,no
Colombian Red Cross Society,no
Colombiana Contra Minas,no
Coloplast A/S,private
Comcast Corp,private
Comision de Derechos Humanos,no
Comision Espanôla de Ayuda al Refugiado,no
Comitato Collaborazione Medica,no
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,no
Comitato InterNationale per lo Sviluppo dei Popoli,no
Comite Catholique contre la faim,private
Comité d’Appui à l’Auto Promotion,no
Comité d'Aide Médicale,no
Comité de bienfaisance assyrien,private
"Comite de crise ""Nyiragongo 2002""",no
Comité Français pour la Solidarité ,private
Comité Interministériel pour l’Aide Alimentaire,no
Commission d'Entraide pour les Migrants et les Refugies InterNational,no
Commission diocésaine justice et paix (CDJP),no
"Commission for Reception, Truth and Reconciliation",no
Commission of Real Property Claims,private
Committee for the Palestinian Fund,no
Committee for the Promotion of Medical and Humanitarian Aid in Afghanistan,no
Committee partnersh Linz- San Carlos,no
Common Humanitarian Fund,no
Commonwealth Secretariat,no
Communaute des Eglises de Pentecote en Afrique,no
Communauté Evangélique au Kwango (CEK),private
Communautés locales FYROM,no
Communita Impegno Servizio Volontariato,no
Community Action Programme,no
Community Activity for Development and Relief Organization,private
Community Aid Abroad,no
Community Aid for Development,no
Community and Family Services International,no
Community Appraisal & Motivation Program,no
Community Appraisal Programme,no
Community Bridge Initiative,no
Community Chest Korea,no
Community Development Trust,no
Community Foundation for Southern Arizona,private
Community Foundation of Broward,private
Community Health and AIDS Mitigation Project,no
Community Humanitarian Emergency Board,no
Community Peace Fund,no
Community Research and Development Organization,no
Community Technology Development Trust,no
Community Trust Fund,no
"Comoros Red Crescent, The",no
Compact AS,private
ConAgra Foods,private
CONCERN,no
Concern India,no
Concern Universal,no
Concern Worldwide,no
CONCORD,no
Confident Children out of Conflict,no
Conflict Dynamics International,no
"Congo, Democratic Republic of",no
"Congo, Republic of",no
Connacionales del Extranjero,no
ConocoPhillips,private
Conrad N. Hilton Foundation,private
Consejo Comunitario Mayor de la Asociación Campesina Integral del Atrato,private
Consolata Sisters,private
Consolata Sisters ,private
Consortium for Assistance to Refugees and the Displaced in Indonesia,no
Consortium for Assistance to Refugees and the Displaced in Indonesia ,no
"Consortium for Southern Africa Food Security Emergency (World Vision, CARE, CRS, & ADRA)",no
Consortium of British Humanitarian Agencies,no
Consulate General,private
Consultative Group on InterNational Agricultural Research,no
Continental AG,private
Control Arms,no
ConvaTec,private
Convoy of Hope,no
Coof Bamako,no
Coof Havanna,no
Coof Ouagadougou,no
Cook Islands,no
Cook Islands Red Cross,no
Cook Islands Red Cross Society,no
Cooperation Andina de Fomento,no
Coopération Humanitaire Luxembourg,no
Coopération Technique Belge,no
Cooperative for Assistance and Relief Everywhere,no
Cooperative League of the USA,no
Cooperazione E Sviluppo - CESVI,no
Cooperazione Internazionale - COOPI,no
Cooperazione Internazionale Sud Sud,no
Cooperazione per lo Sviluppo dei Paesi Emergenti - COSPE,no
Coordinadora Nacional para la Reduccion de Desastres,no
Coordinating Action on Small Arms,no
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,no
Co-ordinating Council Geneva,no
Coordination Institute Humanitarian,no
COPE - The Cooperative Orthotic and Prosthetic Enterprise,no
Corporacion andina de fomento ,no
Corporación Desarollo y Paz del Magdalena Medio,no
Corporación Gestión Ecuador,private
Corporacion Opcion Legal,private
Costa Rica,no
Costa Rican Red Cross,no
Cote d'Ivoire,no
"Council of A Coruna, Spain",no
Council of Churches,private
Council of Europe Development Bank,no
Council of Governors - Rotary Korea,no
"Council of Huelva, Spain (thru FAMSI)",no
Counselling Services Unit,no
Counter Narcotics Trust Fund (CNTF) Afghanistan,no
Counterpart InterNational,no
CPH - Comité Protos Haïti,no
CPR Savers and First Aid Supply,private
CRADA,no
CRAFOD,no
Crawford & Company,private
CRC - NGO Group for the Convention on the Rights of the Child,no
Creative Association Inc.,private
Credit Agricole,private
Credit Suisse,private
CRIC - Centro Regionale di Intervento per la Cooperazione,no
Crisis Management Initiative,no
Croatia,no
Croatia Red Cross,no
Croatian Mine Action Center,no
Croatian Red Cross,no
"Crocs, Inc.",private
Croix Rouge Katanga,no
Croix Rouge RDC,no
Cross InterNational Cathoilc Outreach,no
CROWN AGENTS,private
CRRDC-TD,no
CRS and Private Foundations,no
Cruz Roja Costariricense,no
Cuba,no
Culture and Free Thought Association,no
Cumberland Pharmaceuticals Inc,private
Cummins Foundation,private
Curaçao Red Cross,no
Custodia Franciscana,private
Custodia Franciscana en Tierra Santa,no
"CVS Caremark Charitable Trust, Inc.",private
CWS Japan,no
Cyprus,no
Cyprus Red Cross,no
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",no
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",no
Czech Evang. Diacony,no
Czech Red Cross,no
Czech Rep. Red Cross,no
Czech Republic,no
Czech Republic Ministry of Foreign Affairs,no
D. Stiftung furn UNO-Fluchtlingshilfe E.V.,no
Daaralsalam Development Association,no
Dabane Trust,no
DAC - Danish Afghan Committee,no
DAC Aviation InterNational,private
DACAAR,no
Daewoo,private
Dag Hammarskjold Scholarship Fund for Journalists,no
Daiichi Sankyo,private
"Daiki, Inc.",private
Daimler,private
Damascus People Participation,no
Danchurchaid,no
Danchurchaid / Danish De-mining Group,no
DANIDA,no
Danidas Health Sector Programme Support ,no
Daniela Punz,no
Danish Assistance to the Self-Reliance Strategy,no
Danish Association for InterNational Co-operation,no
Danish Bilharziasis Laboratory,no
Danish Committee for Aid to Afghan Refugees,no
Danish De-mining Centre,no
Danish De-mining Group,no
Danish Emergency Management Agency,no
Danish Ethiopian Mission,no
Danish Fellowship Centre,no
Danish Institute for Human Rights,no
Danish InterNational Life Saving Association,no
Danish Mission Council,no
Danish People's Aid,no
Danish People's Relief Association,no
Danish Powerlines,private
Danish Production School,no
Danish Red Cross,no
Danish Refugee Board,no
Danish Refugee Council,no
Danish Refugee Council/ICVA,no
Danish-ethiopia commen initiative,no
Danmission,no
Dannon,private
Danube Commission,no
Darden Restaurants,private
Darfur Peace and Stability Fund,no
Dark & Light Foundation,private
Darya Organization for Developing Woman and Community,no
Datong,private
Daystar Christian Centre,no
DCH Auto Group,private
DCP-TV,private
DDPS,no
De Norske Pinsemenigheters Ytremisjon,no
Defense for Children InterNational,no
DEH Relief and Development Organization,no
Dejarup,no
Delhaize America Inc,private
DELL,private
Deloitte and Touche,private
Delta Development Program,private
Delvon Assistance for Social Harmony (DASH),no
Demining Agency for Afghanistan,no
DEMIRA,no
Democratic Control of Armed Forces,private
Democratic Iraqi Women Group,no
Den norske Advokatforening,private
Den norske dommerforeningen,private
Den norske forfatterforening,private
Den norske Helsingforskomite,no
Den Norske Kirke,private
Den norske lægeforening - UD-tilskudd,no
Den norske Tibet-komite,no
DENAL,no
Deniz Feneri Association,no
Deniz Feneri Yardimlasma ve Dayanisma Dernegi,no
Denmark,no
DentaQuest,private
Departementenes Servicesenter,no
Department of Defense,no
Department of Ecumenical Relations and Development,private
Department of Justice and Police,no
Department of Settlement and Regional Infrastructure (Kimpraswil),no
Desert Locust Control Organization for Eastern Africa,no
Desjardins,private
Det Mosaiske Trossamfund,private
Det Norske Menneskerettighetsfond,no
Det norske Misjonsforbund,no
Detachement d'Intervention contre les Catasrophes et de Formation,no
Deutsche Bank AG,private
Deutsche Gesellschaft für InterNationale Zusammenarbeit,private
Deutsche Gesellschaft fur Technische Zusammenarbeit - GTZ,no
Deutsche Stiftung,private
Deutsche Telekom,private
Deutsche Welthungerhilfe e.V. (German Agro Action),no
Deutscher Entwicklungsdienst,no
Deutsches Institute für Arztliche Mission,private
Deutsches Komitee fur Katastrophenvorsorge e.V.,no
Devcon,no
Development Aid from People to People,no
Development Alternatives Inc.,private
Development and Peace,no
Development Associates Inc.,private
Development Education Network for Liberia,no
Development Frontiers International,no
Development Initiatives,no
Development Initiatives Access Link,no
Development of Palestinian Farmer Association - Deir Albalah,no
